,Номер заявки,Балл,Результат на финале,Результат на отборе,Статус,Класс
245,№ 1044050,45,45,85,Призер,11
246,№ 1044352,80,80,100,Победитель,10
247,№ 1044753,65,65,85,Призер,11
248,№ 1044964,60,60,100,Победитель,11
249,№ 1045026,100,100,90,Призер,10
250,№ 1045088,10,10,85,Призер,10
251,№ 1045234,60,60,85,Призер,11
252,№ 1045561,2,2,85,Призер,11
253,№ 1045707,45,45,100,Победитель,11
254,№ 1045749,100,100,100,Победитель,11
255,№ 1045860,65,65,100,Победитель,10
256,№ 1046008,50,50,80,Призер,11
257,№ 1046015,35,35,85,Призер,11
258,№ 1046242,80,80,85,Призер,11
259,№ 1046311,45,45,100,Победитель,11
260,№ 1046590,85,85,100,Победитель,11
261,№ 1046735,60,60,85,Призер,11
262,№ 1047095,75,75,100,Победитель,11
263,№ 1047160,75,75,100,Победитель,11
264,№ 1047261,35,35,100,Победитель,11
265,№ 1047502,75,75,100,Победитель,11
266,№ 1047558,15,15,90,Призер,11
267,№ 1047640,60,60,100,Победитель,11
268,№ 1047708,25,25,100,Победитель,11
269,№ 1047728,10,10,75,Призер,10
270,№ 1047730,90,90,90,Призер,10
271,№ 1047915,30,30,100,Победитель,11
272,№ 1048074,15,15,85,Призер,10
273,№ 1048133,50,50,100,Победитель,11
274,№ 1048178,55,55,100,Победитель,11
275,№ 1048409,45,45,100,Победитель,11
276,№ 1048916,65,65,100,Победитель,11
277,№ 1049652,70,70,100,Победитель,11
278,№ 1050656,2,2,90,Призер,10
279,№ 1050818,60,60,100,Победитель,11
280,№ 1051487,65,65,100,Победитель,9
281,№ 1051723,45,45,85,Призер,10
282,№ 1051807,50,50,90,Призер,11
283,№ 1051967,40,40,100,Победитель,11
284,№ 1052349,55,55,90,Призер,11
285,№ 1052639,65,65,90,Призер,11
286,№ 1053078,75,75,85,Призер,11
287,№ 1053655,60,60,100,Победитель,11
288,№ 1053807,15,15,90,Призер,11
289,№ 1053845,15,15,90,Призер,11
290,№ 1054991,75,75,100,Победитель,10
291,№ 1054997,5,5,85,Призер,11
292,№ 1055058,50,50,100,Победитель,11
293,№ 1055532,35,35,100,Победитель,11
294,№ 1056219,70,70,100,Победитель,11
295,№ 1056265,60,60,85,Призер,11
296,№ 1056447,50,50,90,Призер,11
297,№ 1056764,20,20,100,Победитель,11
298,№ 1056768,35,35,85,Призер,10
299,№ 1056795,70,70,100,Победитель,11
300,№ 1057429,70,70,90,Призер,11
301,№ 1057478,35,35,100,Победитель,10
302,№ 1057586,35,35,85,Призер,11
303,№ 1057764,30,30,100,Победитель,11
304,№ 1058928,45,45,100,Победитель,11
305,№ 1059086,25,25,90,Призер,11
306,№ 1059104,45,45,100,Победитель,11
307,№ 1059110,40,40,100,Победитель,11
308,№ 1059164,45,45,100,Победитель,11
309,№ 1059258,25,25,100,Победитель,11
310,№ 1059456,55,55,100,Победитель,11
311,№ 1059471,55,55,100,Победитель,11
312,№ 1059748,25,25,100,Победитель,11
313,№ 1059757,80,80,90,Призер,11
314,№ 1060301,50,50,100,Победитель,11
315,№ 1060402,90,90,100,Победитель,11
316,№ 1060529,10,10,100,Победитель,11
317,№ 1060629,35,35,85,Призер,11
318,№ 1060728,30,30,85,Призер,11
319,№ 1060798,75,75,85,Призер,11
320,№ 1060804,60,60,90,Призер,11
321,№ 1060913,5,5,100,Победитель,11
322,№ 1060942,50,50,100,Победитель,11
323,№ 1060946,60,60,100,Победитель,11
324,№ 1061027,15,15,100,Победитель,11
325,№ 1061189,50,50,100,Победитель,10
326,№ 1061331,100,100,75,Призер,10
327,№ 1061552,50,50,100,Победитель,11
328,№ 1061572,60,60,100,Победитель,11
329,№ 1061906,45,45,90,Призер,11
330,№ 1062030,30,30,85,Призер,11
331,№ 1062191,90,90,85,Призер,11
332,№ 1062406,65,65,85,Призер,11
333,№ 1062753,30,30,90,Призер,11
334,№ 1062883,70,70,100,Победитель,11
335,№ 1062911,75,75,85,Призер,11
336,№ 1063002,30,30,85,Призер,11
337,№ 1063108,25,25,85,Призер,11
338,№ 1063158,80,80,100,Победитель,11
339,№ 1063331,2,2,100,Победитель,11
340,№ 1063531,65,65,100,Победитель,11
341,№ 1063624,55,55,90,Призер,11
342,№ 1063773,55,55,100,Победитель,11
343,№ 1063800,50,50,100,Победитель,11
344,№ 1063881,45,45,100,Победитель,11
345,№ 1064073,30,30,90,Призер,11
346,№ 1064185,90,90,100,Победитель,11
347,№ 1064330,50,50,85,Призер,11
348,№ 1064362,35,35,100,Победитель,10
349,№ 1064540,65,65,100,Победитель,11
350,№ 1064659,50,50,100,Победитель,11
351,№ 1064754,2,2,100,Победитель,11
352,№ 1064792,50,50,100,Победитель,10
